frequency_hz,normalized_impedance_real,normalized_impedance_imag
500,0.785,-3.596
600,0.474,-3.213
700,0.351,-2.648
800,0.229,-2.212
900,0.177,-1.837
1000,0.170,-1.534
1100,0.188,-1.243
1200,0.171,-0.987
1300,0.145,-0.748
1400,0.169,-0.480
1500,0.112,-0.280
1600,0.130,-0.098
1700,0.137,0.075
1800,0.138,0.241
1900,0.143,0.412
2000,0.151,0.574
2100,0.162,0.743
2200,0.174,0.911
2300,0.190,1.062
2400,0.208,1.239
2500,0.222,1.387
